月,多云/多云,多云/小雨,多云/阴,小雨/多云,小雨/小雨,小雨/阴,晴/多云,晴/晴,阴/多云,阴/小雨,阴/阴
01,17.0,0,0,0,24.0,11.0,0,13.0,0,27.0,32.0
02,19.0,0,17.0,0,19.0,0,0,0,12.0,21.0,25.0
03,28.0,12.0,0,0,24.0,0,0,0,0,21.0,14.0
04,17.0,13.0,0,0,26.0,0,0,0,0,16.0,0
05,28.0,13.0,0,11.0,23.0,0,0,0,0,13.0,0
06,28.0,0,0,0,28.0,0,0,0,0,0,0
07,17.0,15.0,0,0,13.0,0,0,13.0,0,0,0
08,38.0,0,0,0,13.0,0,19.0,30.0,0,0,0
09,24.0,0,0,0,24.0,0,11.0,15.0,0,0,0
10,21.0,0,0,0,42.0,0,0,0,0,20.0,16.0
11,24.0,0,0,0,25.0,0,0,0,0,20.0,25.0
12,19.0,0,12.0,0,19.0,13.0,0,0,0,16.0,46.0
